[front_panel]
mode=T2 - R2
output=20 dB
gain=25 dB
probe1=2 MHz
probe2=2 MHz

[measure]
selection=1
samplerate=1
begin=0
end=100
sound speed=2700
units=1

[ascan]
fft filter=0
fft middle=2
fft width=2
fft gate=5
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [mm]	Amplitude	
0,000E+00	4,275E-01	
2,700E-02	4,959E-01	
5,400E-02	5,670E-01	
8,100E-02	6,398E-01	
1,080E-01	7,133E-01	
1,350E-01	7,864E-01	
1,620E-01	8,579E-01	
1,890E-01	9,269E-01	
2,160E-01	9,922E-01	
2,430E-01	1,053E+00	
2,700E-01	1,109E+00	
2,970E-01	1,159E+00	
3,240E-01	1,202E+00	
3,510E-01	1,240E+00	
3,780E-01	1,271E+00	
4,050E-01	1,295E+00	
4,320E-01	1,314E+00	
4,590E-01	1,328E+00	
4,860E-01	1,336E+00	
5,130E-01	1,341E+00	
5,400E-01	1,342E+00	
5,670E-01	1,341E+00	
5,940E-01	1,337E+00	
6,210E-01	1,331E+00	
6,480E-01	1,325E+00	
6,750E-01	1,317E+00	
7,020E-01	1,309E+00	
7,290E-01	1,301E+00	
7,560E-01	1,293E+00	
7,830E-01	1,285E+00	
8,100E-01	1,278E+00	
8,370E-01	1,272E+00	
8,640E-01	1,266E+00	
8,910E-01	1,262E+00	
9,180E-01	1,259E+00	
9,450E-01	1,257E+00	
9,720E-01	1,257E+00	
9,990E-01	1,258E+00	
1,026E+00	1,261E+00	
1,053E+00	1,265E+00	
1,080E+00	1,270E+00	
1,107E+00	1,276E+00	
1,134E+00	1,283E+00	
1,161E+00	1,290E+00	
1,188E+00	1,297E+00	
1,215E+00	1,304E+00	
1,242E+00	1,310E+00	
1,269E+00	1,315E+00	
1,296E+00	1,319E+00	
1,323E+00	1,322E+00	
1,350E+00	1,323E+00	
1,377E+00	1,324E+00	
1,404E+00	1,323E+00	
1,431E+00	1,322E+00	
1,458E+00	1,321E+00	
1,485E+00	1,320E+00	
1,512E+00	1,318E+00	
1,539E+00	1,317E+00	
1,566E+00	1,316E+00	
1,593E+00	1,315E+00	
1,620E+00	1,315E+00	
1,647E+00	1,315E+00	
1,674E+00	1,316E+00	
1,701E+00	1,317E+00	
1,728E+00	1,318E+00	
1,755E+00	1,320E+00	
1,782E+00	1,321E+00	
1,809E+00	1,323E+00	
1,836E+00	1,325E+00	
1,863E+00	1,326E+00	
1,890E+00	1,328E+00	
1,917E+00	1,329E+00	
1,944E+00	1,330E+00	
1,971E+00	1,331E+00	
1,998E+00	1,331E+00	
2,025E+00	1,331E+00	
2,052E+00	1,330E+00	
2,079E+00	1,329E+00	
2,106E+00	1,328E+00	
2,133E+00	1,326E+00	
2,160E+00	1,324E+00	
2,187E+00	1,322E+00	
2,214E+00	1,320E+00	
2,241E+00	1,318E+00	
2,268E+00	1,316E+00	
2,295E+00	1,314E+00	
2,322E+00	1,313E+00	
2,349E+00	1,312E+00	
2,376E+00	1,311E+00	
2,403E+00	1,311E+00	
2,430E+00	1,311E+00	
2,457E+00	1,312E+00	
2,484E+00	1,313E+00	
2,511E+00	1,315E+00	
2,538E+00	1,317E+00	
2,565E+00	1,319E+00	
2,592E+00	1,322E+00	
2,619E+00	1,324E+00	
2,646E+00	1,326E+00	
2,673E+00	1,327E+00	
2,700E+00	1,328E+00	
2,727E+00	1,327E+00	
2,754E+00	1,324E+00	
2,781E+00	1,321E+00	
2,808E+00	1,316E+00	
2,835E+00	1,310E+00	
2,862E+00	1,303E+00	
2,889E+00	1,296E+00	
2,916E+00	1,288E+00	
2,943E+00	1,280E+00	
2,970E+00	1,273E+00	
2,997E+00	1,266E+00	
3,024E+00	1,260E+00	
3,051E+00	1,255E+00	
3,078E+00	1,251E+00	
3,105E+00	1,248E+00	
3,132E+00	1,246E+00	
3,159E+00	1,244E+00	
3,186E+00	1,244E+00	
3,213E+00	1,243E+00	
3,240E+00	1,244E+00	
3,267E+00	1,244E+00	
3,294E+00	1,244E+00	
3,321E+00	1,244E+00	
3,348E+00	1,244E+00	
3,375E+00	1,242E+00	
3,402E+00	1,240E+00	
3,429E+00	1,237E+00	
3,456E+00	1,233E+00	
3,483E+00	1,228E+00	
3,510E+00	1,221E+00	
3,537E+00	1,212E+00	
3,564E+00	1,202E+00	
3,591E+00	1,191E+00	
3,618E+00	1,178E+00	
3,645E+00	1,165E+00	
3,672E+00	1,150E+00	
3,699E+00	1,135E+00	
3,726E+00	1,118E+00	
3,753E+00	1,102E+00	
3,780E+00	1,085E+00	
3,807E+00	1,067E+00	
3,834E+00	1,049E+00	
3,861E+00	1,032E+00	
3,888E+00	1,013E+00	
3,915E+00	9,951E-01	
3,942E+00	9,767E-01	
3,969E+00	9,580E-01	
3,996E+00	9,392E-01	
4,023E+00	9,203E-01	
4,050E+00	9,013E-01	
4,077E+00	8,822E-01	
4,104E+00	8,632E-01	
4,131E+00	8,442E-01	
4,158E+00	8,254E-01	
4,185E+00	8,068E-01	
4,212E+00	7,884E-01	
4,239E+00	7,703E-01	
4,266E+00	7,525E-01	
4,293E+00	7,350E-01	
4,320E+00	7,177E-01	
4,347E+00	7,006E-01	
4,374E+00	6,836E-01	
