time [µs]	Amp[V]	HF [V]	TGC [dB]
0,0	0,239	0,001	1,575
0,1	0,589	0,017	1,732
0,2	0,922	0,993	1,417
0,3	1,101	-0,456	0,630
0,4	1,097	-1,015	2,047
0,5	1,004	-0,440	2,047
0,6	0,951	0,403	1,732
0,7	0,992	0,820	1,417
0,8	1,076	0,993	1,260
0,9	1,115	0,521	1,575
1,0	1,076	-1,015	1,890
1,1	1,022	-0,117	1,732
1,2	1,035	0,993	1,417
1,3	1,130	0,245	1,417
1,4	1,220	-1,015	1,575
1,5	1,192	-1,015	1,732
1,6	1,012	0,104	1,575
1,7	0,774	0,899	1,575
1,8	0,634	0,001	1,575
1,9	0,693	0,655	1,575
2,0	0,921	0,489	1,575
2,1	1,183	-1,015	1,575
2,2	1,328	-1,015	1,732
2,3	1,284	-0,219	1,575
2,4	1,075	0,993	1,417
2,5	0,791	0,670	1,575
2,6	0,526	-0,259	1,575
2,7	0,351	-0,211	1,575
2,8	0,293	-0,141	1,575
2,9	0,340	-0,400	1,417
3,0	0,438	-0,141	1,417
3,1	0,513	0,411	1,575
3,2	0,503	0,395	1,575
3,3	0,394	-0,133	1,575
3,4	0,229	-0,219	1,575
3,5	0,084	-0,007	1,575
3,6	0,013	0,025	1,575
3,7	0,019	-0,022	1,575
3,8	0,061	0,041	1,575
3,9	0,086	0,064	1,575
4,0	0,075	-0,015	1,575
4,1	0,039	-0,038	1,575
4,2	0,009	-0,007	1,575
4,3	0,001	0,001	1,575
4,4	0,009	-0,007	1,575
4,5	0,019	-0,007	1,417
4,6	0,021	0,009	1,575
4,7	0,016	-0,015	1,575
4,8	0,015	-0,015	1,575
4,9	0,020	0,017	1,575
5,0	0,027	0,017	1,575
5,1	0,027	-0,007	1,575
5,2	0,018	-0,015	1,575
5,3	0,007	-0,007	1,575
5,4	0,001	0,001	1,575
5,5	0,005	-0,007	1,575
5,6	0,013	0,009	1,575
5,7	0,018	0,009	1,575
5,8	0,016	0,001	1,575
5,9	0,011	-0,007	1,575
6,0	0,007	-0,007	1,575
6,1	0,010	0,009	1,102
6,2	0,016	0,009	2,362
6,3	0,021	0,001	3,937
6,4	0,019	-0,015	5,354
6,5	0,014	-0,015	6,299
6,6	0,011	0,001	6,929
6,7	0,013	0,009	7,559
6,8	0,022	0,025	8,031
6,9	0,032	0,017	8,346
7,0	0,037	0,001	8,819
7,1	0,035	-0,022	9,134
7,2	0,028	-0,030	9,449
