time [µs]	Amp[V]	HF [V]	TGC [dB]
0,0	0,222	0,002	1,575
0,1	0,591	0,018	1,732
0,2	0,952	0,995	1,260
0,3	1,133	-0,431	0,630
0,4	1,084	-1,013	2,047
0,5	0,924	-0,446	2,047
0,6	0,837	0,420	1,732
0,7	0,919	0,664	1,417
0,8	1,100	0,995	1,260
0,9	1,213	0,703	1,575
1,0	1,154	-1,013	1,890
1,1	0,979	-0,360	1,732
1,2	0,857	0,758	1,417
1,3	0,912	0,073	1,417
1,4	1,102	-1,013	1,575
1,5	1,249	-1,013	1,732
1,6	1,193	0,136	1,575
1,7	0,935	0,995	1,417
1,8	0,643	0,365	1,575
1,9	0,516	0,231	1,575
2,0	0,621	0,089	1,575
2,1	0,850	-0,864	1,575
2,2	1,009	-0,785	1,732
2,3	0,966	0,097	1,575
2,4	0,738	0,656	1,575
2,5	0,455	0,388	1,575
2,6	0,246	-0,029	1,575
2,7	0,155	-0,116	1,575
2,8	0,142	-0,108	1,575
2,9	0,138	-0,100	1,575
3,0	0,109	-0,013	1,417
3,1	0,065	0,073	1,575
3,2	0,035	0,050	1,575
3,3	0,030	-0,005	1,575
3,4	0,037	0,010	1,575
3,5	0,038	0,026	1,575
3,6	0,027	0,002	1,575
3,7	0,013	-0,013	1,575
3,8	0,008	0,002	1,575
3,9	0,014	-0,005	1,575
4,0	0,023	-0,021	1,575
4,1	0,026	0,002	1,575
4,2	0,022	0,018	1,575
4,3	0,017	0,010	1,575
4,4	0,014	-0,013	1,575
4,5	0,015	-0,013	1,575
4,6	0,014	0,002	1,575
4,7	0,011	-0,005	1,575
4,8	0,008	-0,005	1,575
4,9	0,008	0,010	1,575
5,0	0,012	0,010	1,575
5,1	0,016	0,002	1,575
5,2	0,017	-0,005	1,575
5,3	0,015	-0,005	1,575
5,4	0,010	-0,013	1,575
5,5	0,006	-0,005	1,575
5,6	0,005	0,002	1,575
5,7	0,005	0,002	1,575
5,8	0,007	-0,005	1,575
5,9	0,008	0,002	1,575
6,0	0,010	0,010	1,575
6,1	0,011	0,002	1,102
6,2	0,011	-0,005	2,047
6,3	0,010	-0,005	3,780
6,4	0,007	-0,005	5,197
6,5	0,005	-0,005	6,142
6,6	0,006	0,002	6,929
6,7	0,012	0,010	7,559
6,8	0,019	0,018	8,031
6,9	0,024	0,010	8,504
7,0	0,024	-0,005	8,819
7,1	0,019	-0,013	9,134
7,2	0,012	-0,013	9,449
7,3	0,007	-0,005	9,921
7,4	0,007	0,002	10,236
7,5	0,010	0,010	10,551
7,6	0,013	0,002	10,866
7,7	0,014	-0,005	11,181
7,8	0,011	-0,005	11,496
7,9	0,008	-0,005	11,811
8,0	0,005	-0,005	12,126
8,1	0,004	-0,005	12,441
8,2	0,005	0,002	12,756
8,3	0,007	0,002	13,071
8,4	0,008	0,002	13,386
8,5	0,009	-0,005	13,701
8,6	0,008	-0,005	14,016
8,7	0,008	0,002	14,331
8,8	0,008	0,002	14,646
8,9	0,009	-0,005	14,961
9,0	0,010	-0,005	15,276
9,1	0,012	0,002	15,591
9,2	0,013	-0,005	15,906
9,3	0,012	-0,013	16,220
9,4	0,011	-0,005	16,535
9,5	0,008	-0,005	16,850
9,6	0,006	-0,005	17,165
9,7	0,007	0,002	17,480
9,8	0,011	-0,005	17,795
9,9	0,016	-0,005	18,110
10,0	0,020	-0,013	18,583
10,1	0,019	-0,021	18,898
10,2	0,015	-0,013	19,213
10,3	0,009	-0,005	19,528
10,4	0,007	0,002	19,843
10,5	0,011	0,010	20,157
10,6	0,019	0,002	20,472
10,7	0,029	-0,013	20,630
10,8	0,034	-0,029	20,945
10,9	0,033	-0,037	21,417
11,0	0,029	-0,005	21,575
11,1	0,028	0,018	21,890
11,2	0,036	-0,029	22,205
11,3	0,060	-0,037	22,677
11,4	0,099	0,073	22,992
11,5	0,145	0,121	23,307
11,6	0,180	-0,053	23,622
11,7	0,191	-0,187	23,937
11,8	0,168	-0,068	24,252
11,9	0,119	0,089	24,567
12,0	0,066	0,065	24,882
12,1	0,031	0,002	25,197
12,2	0,029	0,018	25,354
12,3	0,055	0,026	25,827
12,4	0,090	-0,061	26,142
12,5	0,112	-0,108	26,457
12,6	0,110	-0,029	26,772
12,7	0,090	0,065	27,087
12,8	0,065	0,065	27,402
12,9	0,047	0,010	27,874
13,0	0,041	-0,013	28,031
13,1	0,047	-0,029	28,346
13,2	0,062	-0,068	28,661
13,3	0,084	-0,045	28,976
13,4	0,105	0,065	29,291
13,5	0,113	0,097	29,606
13,6	0,100	-0,005	29,921
13,7	0,067	-0,068	30,236
13,8	0,030	-0,029	30,551
13,9	0,011	0,002	31,181
14,0	0,024	-0,005	31,181
14,1	0,062	0,010	31,181
14,2	0,108	0,105	31,181
14,3	0,152	0,018	31,024
14,4	0,199	-0,202	31,024
14,5	0,271	-0,131	31,024
14,6	0,384	0,317	31,024
14,7	0,535	0,278	31,024
14,8	0,698	-0,525	31,024
14,9	0,847	-0,683	31,024
15,0	0,969	0,491	30,866
15,1	1,063	0,995	31,024
15,2	1,127	0,152	31,024
15,3	1,143	-1,013	31,181
15,4	1,091	-0,879	31,024
15,5	0,973	0,207	31,024
15,6	0,824	0,750	31,024
15,7	0,700	0,593	31,024
15,8	0,639	0,136	31,024
15,9	0,633	-0,431	31,024
16,0	0,632	-0,627	31,024
16,1	0,586	-0,187	31,024
16,2	0,483	0,317	30,866
16,3	0,361	0,357	30,866
16,4	0,279	0,176	31,024
16,5	0,272	0,002	31,024
16,6	0,330	-0,242	31,024
16,7	0,411	-0,399	31,024
16,8	0,469	-0,100	31,024
16,9	0,490	0,380	31,024
17,0	0,486	0,451	31,024
17,1	0,479	0,081	31,024
17,2	0,491	-0,336	30,866
17,3	0,529	-0,525	30,866
17,4	0,591	-0,257	30,866
17,5	0,665	0,404	30,866
17,6	0,723	0,695	30,866
17,7	0,730	0,184	31,024
17,8	0,660	-0,509	31,024
17,9	0,524	-0,502	31,024
18,0	0,373	-0,045	31,024
18,1	0,276	0,136	31,024
18,2	0,279	0,199	31,024
18,3	0,375	0,373	31,024
18,4	0,510	0,270	30,866
18,5	0,625	-0,391	31,024
18,6	0,690	-0,651	30,866
18,7	0,708	0,058	30,866
18,8	0,692	0,672	30,866
18,9	0,640	0,152	30,866
19,0	0,541	-0,509	31,024
19,1	0,398	-0,226	31,024
19,2	0,253	0,223	31,024
19,3	0,172	0,010	30,866
19,4	0,203	-0,068	31,024
19,5	0,328	0,317	30,866
19,6	0,471	0,357	30,866
19,7	0,547	-0,234	31,024
19,8	0,520	-0,502	30,866
19,9	0,431	-0,210	30,866
20,0	0,361	0,081	30,866
20,1	0,374	0,333	30,866
20,2	0,469	0,459	30,866
20,3	0,579	0,065	30,866
20,4	0,626	-0,517	31,024
20,5	0,569	-0,439	31,024
20,6	0,433	0,121	30,866
20,7	0,292	0,310	30,866
20,8	0,219	0,176	30,866
20,9	0,247	0,160	30,866
21,0	0,352	-0,053	30,866
21,1	0,480	-0,470	30,866
21,2	0,575	-0,313	30,866
21,3	0,611	0,404	30,866
21,4	0,592	0,530	30,866
21,5	0,541	-0,084	30,866
21,6	0,476	-0,470	30,866
21,7	0,400	-0,210	30,866
21,8	0,309	0,168	30,866
21,9	0,206	0,207	30,866
22,0	0,111	0,065	30,866
22,1	0,052	-0,005	30,866
22,2	0,048	0,026	30,866
22,3	0,093	0,034	30,866
22,4	0,161	-0,092	30,866
22,5	0,215	-0,218	30,866
22,6	0,233	-0,076	30,866
22,7	0,215	0,136	30,866
22,8	0,183	0,184	30,866
22,9	0,157	0,081	30,866
23,0	0,145	-0,045	30,866
23,1	0,141	-0,139	30,866
23,2	0,134	-0,084	30,866
23,3	0,119	0,065	30,866
23,4	0,101	0,089	30,866
23,5	0,089	-0,037	30,866
23,6	0,087	-0,084	30,866
23,7	0,091	0,018	30,866
23,8	0,090	0,089	30,866
23,9	0,078	0,010	30,866
24,0	0,058	-0,053	30,866
24,1	0,039	-0,021	30,866
24,2	0,028	0,026	30,866
24,3	0,031	-0,029	30,866
24,4	0,044	-0,021	30,866
24,5	0,059	0,034	30,866
24,6	0,069	0,065	30,866
24,7	0,075	-0,013	30,866
24,8	0,076	-0,076	30,866
24,9	0,077	-0,021	30,866
25,0	0,081	0,073	30,866
25,1	0,088	0,042	30,866
25,2	0,100	-0,076	30,866
25,3	0,117	-0,100	30,866
25,4	0,140	0,050	30,866
25,5	0,165	0,160	30,866
25,6	0,188	0,002	30,866
25,7	0,203	-0,194	30,866
25,8	0,206	-0,124	30,866
25,9	0,199	0,121	30,866
26,0	0,186	0,168	30,866
26,1	0,173	-0,045	30,866
26,2	0,165	-0,163	30,866
26,3	0,161	-0,021	30,866
26,4	0,159	0,152	30,866
26,5	0,158	0,097	30,866
26,6	0,158	-0,068	30,866
26,7	0,162	-0,163	30,866
26,8	0,171	-0,092	30,866
26,9	0,184	0,081	30,866
27,0	0,197	0,199	30,866
27,1	0,209	0,105	30,866
27,2	0,217	-0,116	30,866
27,3	0,220	-0,218	30,866
27,4	0,219	-0,045	30,866
27,5	0,215	0,184	30,866
27,6	0,208	0,160	30,866
27,7	0,194	-0,076	30,866
27,8	0,170	-0,163	30,866
27,9	0,136	-0,045	30,709
28,0	0,099	0,089	30,866
28,1	0,067	0,042	30,866
28,2	0,050	-0,037	30,866
28,3	0,050	-0,021	30,866
28,4	0,059	0,058	30,866
28,5	0,067	0,026	30,866
28,6	0,068	-0,045	30,866
28,7	0,062	-0,068	30,866
28,8	0,058	-0,029	30,866
28,9	0,064	-0,005	30,866
29,0	0,081	0,050	30,866
29,1	0,103	0,105	30,709
29,2	0,120	0,018	30,709
29,3	0,129	-0,124	30,866
29,4	0,133	-0,053	30,866
29,5	0,142	0,121	30,866
29,6	0,164	0,081	30,866
29,7	0,201	-0,171	30,866
29,8	0,248	-0,179	30,866
29,9	0,293	0,144	30,866
30,0	0,324	0,310	30,866
30,1	0,329	0,010	30,866
30,2	0,303	-0,289	30,866
30,3	0,249	-0,155	30,866
30,4	0,179	0,097	30,866
30,5	0,110	0,105	30,866
30,6	0,056	0,026	30,866
30,7	0,025	0,026	30,866
30,8	0,016	0,010	30,866
30,9	0,027	-0,013	30,866
31,0	0,054	0,026	30,866
31,1	0,097	-0,053	30,866
31,2	0,150	-0,155	30,866
31,3	0,202	-0,037	30,866
31,4	0,234	0,191	30,866
31,5	0,233	0,184	30,866
31,6	0,197	-0,068	30,866
31,7	0,142	-0,147	30,866
31,8	0,092	0,002	30,866
31,9	0,069	0,050	30,866
32,0	0,083	-0,068	30,866
32,1	0,125	-0,108	30,866
32,2	0,180	0,042	30,866
32,3	0,231	0,215	30,866
32,4	0,266	0,160	30,866
32,5	0,283	-0,163	30,866
32,6	0,285	-0,273	30,866
32,7	0,279	-0,021	30,866
32,8	0,271	0,254	30,866
32,9	0,267	0,160	30,866
33,0	0,269	-0,155	30,866
33,1	0,275	-0,265	30,709
33,2	0,281	-0,068	30,866
33,3	0,283	0,207	30,866
33,4	0,282	0,278	30,866
33,5	0,282	0,105	30,866
33,6	0,293	-0,124	30,866
33,7	0,326	-0,305	30,866
33,8	0,382	-0,336	30,866
33,9	0,454	-0,084	30,866
34,0	0,526	0,380	30,866
34,1	0,577	0,554	30,709
34,2	0,590	0,184	30,866
34,3	0,561	-0,360	30,866
34,4	0,503	-0,509	30,866
34,5	0,438	-0,218	30,866
34,6	0,387	0,128	30,866
34,7	0,353	0,310	30,866
34,8	0,326	0,302	30,866
34,9	0,287	0,089	30,866
35,0	0,232	-0,124	30,866
35,1	0,173	-0,179	30,866
35,2	0,134	-0,116	30,866
35,3	0,134	-0,100	30,866
35,4	0,174	-0,076	30,866
35,5	0,239	0,089	30,866
35,6	0,308	0,302	30,709
35,7	0,369	0,286	30,866
35,8	0,418	-0,021	30,866
35,9	0,449	-0,399	30,866
36,0	0,452	-0,376	30,866
36,1	0,417	0,034	30,866
36,2	0,344	0,317	30,866
36,3	0,256	0,223	30,866
36,4	0,184	0,034	30,866
36,5	0,152	-0,053	30,866
36,6	0,157	-0,116	30,866
36,7	0,176	-0,187	30,866
36,8	0,178	-0,068	30,709
36,9	0,152	0,089	30,866
37,0	0,114	0,097	30,866
37,1	0,091	0,073	30,866
37,2	0,102	0,105	30,866
37,3	0,143	0,018	30,866
37,4	0,193	-0,139	30,866
37,5	0,228	-0,210	30,866
37,6	0,237	-0,045	30,866
37,7	0,224	0,160	30,866
37,8	0,201	0,207	30,866
37,9	0,179	0,065	30,866
38,0	0,160	-0,084	30,866
38,1	0,141	-0,131	30,866
38,2	0,117	-0,076	30,866
38,3	0,089	0,010	30,709
38,4	0,063	0,065	30,866
38,5	0,046	0,050	30,866
38,6	0,044	0,018	30,866
38,7	0,056	0,050	30,866
38,8	0,079	0,018	30,866
38,9	0,105	-0,084	30,866
39,0	0,127	-0,116	30,866
39,1	0,141	0,010	30,866
39,2	0,146	0,136	30,866
39,3	0,143	0,073	30,866
39,4	0,132	-0,100	30,866
39,5	0,120	-0,100	30,709
39,6	0,110	0,050	30,866
39,7	0,109	0,097	30,866
39,8	0,121	-0,029	30,866
39,9	0,144	-0,147	30,866
40,0	0,173	-0,045	30,866
40,1	0,198	0,160	30,866
40,2	0,213	0,184	30,866
40,3	0,214	-0,021	30,866
40,4	0,200	-0,179	30,866
40,5	0,176	-0,147	30,866
40,6	0,147	0,026	30,866
40,7	0,119	0,097	30,709
40,8	0,099	0,097	30,866
40,9	0,092	0,042	30,709
41,0	0,101	-0,013	30,866
41,1	0,123	-0,116	30,866
41,2	0,148	-0,124	30,866
41,3	0,163	0,018	30,866
41,4	0,158	0,144	30,866
41,5	0,132	0,097	30,866
41,6	0,096	-0,029	30,866
41,7	0,064	-0,061	30,866
41,8	0,052	-0,037	30,866
41,9	0,066	-0,061	30,709
42,0	0,098	-0,076	30,866
42,1	0,136	0,050	30,709
42,2	0,167	0,160	30,709
42,3	0,182	0,089	30,866
42,4	0,178	-0,108	30,709
42,5	0,157	-0,155	30,866
42,6	0,127	-0,037	30,866
42,7	0,093	0,065	30,866
42,8	0,061	0,058	30,866
42,9	0,039	0,026	30,866
43,0	0,029	0,010	30,866
43,1	0,030	-0,005	30,866
43,2	0,040	-0,037	30,866
43,3	0,053	-0,045	30,866
43,4	0,067	-0,045	30,709
43,5	0,079	0,026	30,866
43,6	0,089	0,081	30,709
43,7	0,098	0,081	30,866
43,8	0,105	-0,005	30,866
43,9	0,110	-0,100	30,866
44,0	0,114	-0,092	30,866
44,1	0,115	0,026	30,866
44,2	0,112	0,097	30,866
44,3	0,103	0,089	30,866
44,4	0,090	-0,013	30,866
44,5	0,073	-0,061	30,866
44,6	0,056	-0,053	30,709
44,7	0,043	-0,005	30,709
44,8	0,034	0,018	30,709
44,9	0,029	0,034	30,709
45,0	0,028	0,018	30,866
45,1	0,032	0,002	30,866
45,2	0,042	-0,021	30,866
45,3	0,055	-0,053	30,866
45,4	0,068	-0,053	30,866
45,5	0,078	0,002	30,866
45,6	0,081	0,073	30,866
45,7	0,081	0,073	30,866
45,8	0,081	0,034	30,709
45,9	0,085	-0,029	30,866
46,0	0,091	-0,084	30,709
46,1	0,095	-0,084	30,709
46,2	0,095	0,002	30,866
46,3	0,089	0,073	30,866
46,4	0,082	0,073	30,866
46,5	0,076	0,018	30,866
46,6	0,075	-0,045	30,866
46,7	0,079	-0,084	30,866
46,8	0,084	-0,045	30,866
46,9	0,088	0,026	30,866
47,0	0,088	0,089	30,866
47,1	0,085	0,050	30,709
47,2	0,080	-0,029	30,709
47,3	0,075	-0,076	30,866
47,4	0,070	-0,053	30,709
47,5	0,068	0,002	30,866
47,6	0,067	0,042	30,866
47,7	0,066	0,073	30,866
47,8	0,065	0,018	30,866
47,9	0,062	-0,037	30,866
48,0	0,058	-0,053	30,866
48,1	0,055	-0,037	30,866
48,2	0,053	0,018	30,866
48,3	0,048	0,050	30,866
48,4	0,042	0,026	30,709
48,5	0,032	-0,005	30,709
48,6	0,022	-0,013	30,709
48,7	0,016	-0,021	30,709
48,8	0,014	-0,013	30,866
48,9	0,017	-0,013	30,866
49,0	0,022	-0,013	30,866
49,1	0,026	0,002	30,866
49,2	0,028	0,026	30,866
49,3	0,031	0,026	30,866
49,4	0,036	-0,005	30,866
49,5	0,045	-0,045	30,866
49,6	0,056	-0,029	30,866
49,7	0,066	0,034	30,866
49,8	0,072	0,073	30,709
49,9	0,073	0,034	30,709
50,0	0,074	-0,029	30,709
50,1	0,079	-0,076	30,866
50,2	0,092	-0,076	30,866
50,3	0,113	-0,013	30,866
50,4	0,138	0,113	30,866
50,5	0,161	0,144	30,866
50,6	0,176	0,002	30,866
50,7	0,179	-0,163	30,866
50,8	0,173	-0,131	30,866
50,9	0,159	0,034	30,866
51,0	0,141	0,144	30,866
51,1	0,121	0,065	30,709
51,2	0,101	-0,045	30,709
51,3	0,082	-0,084	30,866
51,4	0,066	-0,013	30,866
51,5	0,057	0,050	30,866
51,6	0,056	0,034	30,866
51,7	0,063	-0,053	30,866
51,8	0,074	-0,037	30,866
51,9	0,083	0,050	30,866
52,0	0,090	0,097	30,866
52,1	0,094	0,026	30,866
52,2	0,094	-0,053	30,866
52,3	0,089	-0,084	30,866
52,4	0,077	-0,037	30,866
52,5	0,059	0,042	30,866
52,6	0,039	0,042	30,709
52,7	0,027	0,010	30,709
52,8	0,030	0,026	30,866
52,9	0,047	0,026	30,866
53,0	0,069	-0,037	30,866
53,1	0,087	-0,084	30,866
53,2	0,092	-0,037	30,866
53,3	0,084	0,058	30,866
53,4	0,071	0,065	30,866
53,5	0,060	0,042	30,709
53,6	0,058	-0,005	30,709
53,7	0,064	-0,045	30,866
53,8	0,075	-0,076	30,866
53,9	0,086	-0,029	30,709
54,0	0,093	0,065	30,866
54,1	0,093	0,081	30,866
54,2	0,086	-0,021	30,709
54,3	0,073	-0,076	30,866
54,4	0,060	-0,013	30,866
54,5	0,049	0,042	30,866
54,6	0,043	0,018	30,866
54,7	0,041	-0,037	30,866
54,8	0,038	-0,029	30,709
54,9	0,032	0,018	30,866
55,0	0,024	0,018	30,866
55,1	0,018	0,010	30,709
55,2	0,018	-0,013	30,709
55,3	0,026	-0,021	30,866
55,4	0,040	-0,037	30,866
55,5	0,055	0,002	30,866
55,6	0,066	0,058	30,866
55,7	0,070	0,058	30,866
55,8	0,068	-0,005	30,866
55,9	0,061	-0,053	30,866
56,0	0,053	-0,053	30,866
56,1	0,047	-0,013	30,866
56,2	0,047	0,010	30,866
56,3	0,051	0,042	30,709
56,4	0,057	0,058	30,709
56,5	0,063	0,026	30,709
56,6	0,067	-0,029	30,866
56,7	0,069	-0,068	30,866
56,8	0,071	-0,053	30,866
56,9	0,074	-0,005	30,866
57,0	0,078	0,065	30,866
57,1	0,080	0,073	30,866
57,2	0,079	0,018	30,866
57,3	0,076	-0,061	30,866
57,4	0,071	-0,061	30,866
57,5	0,067	-0,013	30,866
57,6	0,062	0,058	30,709
57,7	0,057	0,050	30,709
57,8	0,051	0,018	30,709
57,9	0,043	-0,013	30,709
58,0	0,036	-0,037	30,866
58,1	0,030	-0,029	30,866
58,2	0,026	-0,005	30,866
58,3	0,022	0,010	30,866
58,4	0,017	0,018	30,866
58,5	0,012	-0,005	30,866
58,6	0,008	-0,005	30,866
58,7	0,006	-0,005	30,866
58,8	0,007	-0,005	30,866
58,9	0,009	0,002	30,709
59,0	0,011	-0,013	30,709
59,1	0,011	0,002	30,866
59,2	0,011	0,010	30,866
59,3	0,013	0,002	30,866
59,4	0,017	-0,005	30,866
59,5	0,024	-0,029	30,866
59,6	0,031	-0,013	30,866
59,7	0,033	0,010	30,866
59,8	0,031	0,034	30,866
59,9	0,024	0,010	30,866
60,0	0,016	-0,005	30,866
60,1	0,010	-0,005	30,709
60,2	0,008	-0,013	30,709
60,3	0,009	-0,005	30,866
60,4	0,013	0,002	30,709
60,5	0,017	0,010	30,866
60,6	0,020	0,018	30,709
60,7	0,022	-0,013	30,866
60,8	0,023	-0,021	30,866
60,9	0,026	-0,021	30,866
61,0	0,031	0,002	30,866
61,1	0,037	0,026	30,709
61,2	0,042	0,042	30,866
61,3	0,044	-0,013	30,709
61,4	0,044	-0,037	30,866
61,5	0,040	-0,029	30,709
61,6	0,033	0,010	30,709
61,7	0,026	0,026	30,709
61,8	0,019	0,010	30,709
61,9	0,014	-0,013	30,709
62,0	0,013	0,002	30,866
62,1	0,018	-0,005	30,866
62,2	0,026	-0,029	30,866
62,3	0,035	-0,005	30,866
62,4	0,039	0,034	30,866
62,5	0,037	0,026	30,866
62,6	0,029	-0,005	30,866
62,7	0,020	-0,021	30,866
62,8	0,014	-0,013	30,709
62,9	0,013	-0,005	30,709
63,0	0,015	0,002	30,709
63,1	0,018	0,018	30,709
63,2	0,018	0,002	30,709
63,3	0,016	-0,013	30,866
63,4	0,012	-0,013	30,866
63,5	0,010	-0,005	30,866
63,6	0,010	-0,005	30,866
63,7	0,011	0,002	30,866
63,8	0,012	0,010	30,866
63,9	0,013	0,010	30,866
64,0	0,014	-0,013	30,709
64,1	0,017	-0,005	30,866
64,2	0,019	-0,021	30,709
64,3	0,021	-0,005	30,709
64,4	0,022	0,018	30,709
64,5	0,023	0,018	30,866
64,6	0,025	0,010	30,866
64,7	0,028	-0,021	30,866
64,8	0,031	-0,029	30,866
