time [µs]	Amp[V]	HF [V]	TGC [dB]
0,0	0,216	0,002	1,575
0,1	0,588	0,018	1,732
0,2	0,947	0,994	1,417
0,3	1,126	-0,423	0,630
0,4	1,082	-1,014	2,047
0,5	0,935	-0,447	2,047
0,6	0,863	0,411	1,732
0,7	0,948	0,703	1,417
0,8	1,110	0,994	1,260
0,9	1,186	0,679	1,575
1,0	1,091	-1,014	1,890
1,1	0,902	-0,156	1,575
1,2	0,796	0,703	1,417
1,3	0,884	0,018	1,417
1,4	1,103	-1,014	1,575
1,5	1,259	-1,014	1,732
1,6	1,195	0,215	1,575
1,7	0,926	0,994	1,417
1,8	0,634	0,317	1,575
1,9	0,520	0,222	1,575
2,0	0,643	0,026	1,575
2,1	0,882	-0,943	1,575
2,2	1,033	-0,722	1,575
2,3	0,971	0,199	1,575
2,4	0,723	0,679	1,417
2,5	0,427	0,309	1,575
2,6	0,214	-0,085	1,575
2,7	0,128	-0,108	1,575
2,8	0,123	-0,085	1,575
2,9	0,129	-0,093	1,575
3,0	0,106	-0,014	1,417
3,1	0,066	0,081	1,575
3,2	0,038	0,049	1,575
3,3	0,034	-0,006	1,575
3,4	0,043	0,018	1,575
3,5	0,048	0,033	1,575
3,6	0,040	-0,006	1,575
3,7	0,025	-0,030	1,575
3,8	0,013	-0,006	1,575
3,9	0,010	0,002	1,575
4,0	0,015	-0,014	1,575
4,1	0,024	0,002	1,575
4,2	0,035	0,033	1,575
4,3	0,046	0,018	1,575
4,4	0,051	-0,037	1,575
4,5	0,048	-0,045	1,417
4,6	0,036	0,002	1,575
4,7	0,021	0,018	1,575
4,8	0,012	0,010	1,575
4,9	0,013	0,010	1,575
5,0	0,020	0,010	1,575
5,1	0,025	-0,014	1,575
5,2	0,024	-0,022	1,575
5,3	0,018	-0,006	1,575
5,4	0,012	0,010	1,575
5,5	0,011	0,010	1,575
5,6	0,012	-0,006	1,575
5,7	0,012	-0,006	1,575
5,8	0,009	-0,006	1,575
5,9	0,006	-0,006	1,575
6,0	0,005	0,002	1,575
6,1	0,010	0,010	1,102
6,2	0,016	0,010	2,047
6,3	0,020	-0,006	3,780
6,4	0,018	-0,014	5,197
6,5	0,014	-0,014	6,142
6,6	0,011	0,002	6,929
6,7	0,013	0,010	7,559
6,8	0,018	0,018	8,031
6,9	0,023	0,010	8,346
7,0	0,023	-0,006	8,819
7,1	0,018	-0,014	9,134
7,2	0,013	-0,014	9,449
