time [µs]	Amp[V]	HF [V]	TGC [dB]
0,0	0,218	0,003	1,575
0,1	0,601	0,019	1,732
0,2	0,960	0,995	1,260
0,3	1,126	-0,454	0,630
0,4	1,067	-1,013	2,047
0,5	0,920	-0,454	1,890
0,6	0,863	0,412	1,732
0,7	0,964	0,649	1,417
0,8	1,119	0,995	1,260
0,9	1,154	0,798	1,575
1,0	0,993	-0,934	1,890
1,1	0,743	0,121	1,732
1,2	0,607	0,058	1,417
1,3	0,707	-0,603	1,417
1,4	0,969	-1,013	1,575
1,5	1,181	-0,635	1,732
1,6	1,161	0,578	1,575
1,7	0,907	0,885	1,417
1,8	0,587	0,216	1,575
1,9	0,396	-0,084	1,575
2,0	0,410	-0,383	1,575
2,1	0,538	-0,509	1,575
2,2	0,621	0,121	1,575
2,3	0,559	0,491	1,575
2,4	0,378	0,200	1,575
2,5	0,181	-0,115	1,575
2,6	0,059	-0,092	1,575
2,7	0,030	-0,029	1,575
2,8	0,047	-0,021	1,575
2,9	0,059	0,003	1,417
3,0	0,046	0,034	1,575
3,1	0,024	0,034	1,575
3,2	0,013	0,019	1,417
3,3	0,017	-0,005	1,575
3,4	0,023	-0,005	1,575
3,5	0,020	0,003	1,575
3,6	0,012	0,011	1,575
3,7	0,008	0,011	1,575
3,8	0,013	0,011	1,575
3,9	0,021	-0,013	1,575
4,0	0,023	-0,013	1,575
4,1	0,018	0,003	1,575
4,2	0,011	0,011	1,575
4,3	0,009	0,003	1,417
4,4	0,011	-0,005	1,417
4,5	0,014	-0,013	1,575
4,6	0,013	-0,005	1,575
4,7	0,008	-0,005	1,575
4,8	0,005	0,003	1,575
4,9	0,007	0,011	1,575
5,0	0,013	0,011	1,575
5,1	0,017	-0,005	1,575
5,2	0,014	-0,005	1,575
5,3	0,008	-0,005	1,575
5,4	0,003	-0,005	1,575
5,5	0,002	0,003	1,575
5,6	0,005	0,003	1,575
5,7	0,008	0,003	1,575
5,8	0,008	-0,005	1,575
5,9	0,007	0,003	1,575
6,0	0,006	0,003	1,417
6,1	0,008	0,003	1,417
6,2	0,010	0,003	2,835
6,3	0,010	-0,005	4,409
6,4	0,008	-0,005	5,669
6,5	0,005	-0,005	6,457
6,6	0,007	0,003	7,244
6,7	0,011	0,011	7,717
6,8	0,016	0,011	8,189
6,9	0,016	-0,005	8,504
7,0	0,012	-0,005	8,819
7,1	0,007	-0,005	9,291
7,2	0,005	-0,005	9,606
