# T/K   t/s     rho/kg/m^3  eta(T)/10^(-3) Pa*s
293.15  39.90   998.21      1.276e-3
293.15  39.27   998.21      1.256e-3
293.15  39.61   998.21      1.267e-3 
293.15  38.93   998.21      1.245e-3 
296.15  37.92   997.54      1.214e-3
296.15  36.39   997.54      1.165e-3
296.15  36.94   997.54      1.182e-3 
296.15  36.61   997.54      1.172e-3 
299.15  35.61   996.79      1.140e-3 
299.15  34.52   996.79      1.106e-3 
299.15  35.11   996.79      1.124e-3 
299.15  34.49   996.79      1.105e-3 
302.15  32.74   995.95      1.049e-3
302.15  31.61   995.95      1.013e-3 
302.15  32.33   995.95      1.036e-3 
302.15  31.83   995.95      1.020e-3
305.15  30.80   995.03      0.988e-3 
305.15  30.27   995.03      0.971e-3 
305.15  30.52   995.03      0.979e-3 
305.15  30.22   995.03      0.969e-3 
308.15  28.33   994.03      0.909e-3
308.15  28.80   994.03      0.924e-3 
308.15  28.33   994.03      0.909e-3 
308.15  28.22   994.03      0.906e-3 
311.15  27.77   992.97      0.892e-3 
311.15  27.43   992.97      0.881e-3 
311.15  27.76   992.97      0.892e-3 
311.15  27.35   992.97      0.879e-3 
314.15  26.48   991.83      0.851e-3 
314.15  25.02   991.83      0.805e-3 
314.15  26.09   991.83      0.839e-3 
314.15  25.36   991.83      0.815e-3 
317.15  24.61   990.63      0.792e-3 
317.15  24.40   990.63      0.785e-3     
317.15  24.25   990.63      0.781e-3     
317.15  24.38   990.63      0.785e-3
320.15  23.42   989.37      0.755e-3 
320.15  22.80   989.37      0.735e-3 
320.15  23.05   989.37      0.743e-3 
320.15  22.95   989.37      0.739e-3
323.15  21.55   988.04      0.695e-3
323.15  21.71   988.04      0.700e-3    
323.15  21.58   988.04      0.696e-3    
323.15  22.08   988.04      0.712e-3 
