# f/Hz     U_C/V    U_G/V       a/s     b/s
  250       3.9     1.6         25e-6   1.5e-3
  500       3.9     1.6         25e-6   1.5e-3
 1000       3.6     1.6         22e-6   0.39e-3
 2500       2.9     1.6         19e-6   0.17e-3
 5000       1.75    1.6         12e-6   78e-6
 7500       1.25    1.6         10e-6   52e-6
10000       1       1.6         8e-6    39e-6
15000       0.64    1.6         6e-6    26e-6
20000       0.5     1.6         4.5e-6  20-6
30000       0.34    1.6         3e-6    13e-6
40000       0.25    1.6         2.4e-6  10e-6
50000       0.2     1.6         2e-6    8e-6
60000       0.17    1.6         1.6e-6  6e-6
