# U_H = 3.2 V, I_H = 2.3 A
# U_B/V  I_A/mA
 0      0.000
 5      0.013
10      0.029
15      0.049
20      0.073
25      0.099
30      0.128
35      0.160
40      0.193
45      0.225
50      0.264
55      0.313
60      0.347
65      0.390
70      0.432
75      0.488
80      0.526
85      0.571
90      0.601
95      0.658
100     0.699
105     0.736
110     0.764
115     0.805
120     0.845
125     0.877
130     0.912
135     0.945
140     0.972
145     0.999
150     1.027
155     1.052
160     1.071
165     1.098
170     1.117
175     1.138
180     1.156
185     1.170
190     1.184
195     1.198
200     1.212
205     1.223
210     1.231
215     1.241
220     1.249
225     1.256
230     1.263
235     1.269
240     1.274
245     1.279
250     1.285
255     1.289
