# U_H = 4.1 V   I_H = 2.1 A
# U_B/V  I_A/mA
0       0.000
5       0.009
10      0.023
15      0.039
20      0.056
25      0.074
30      0.097
35      0.117
40      0.138
45      0.157
50      0.173
55      0.187
60      0.204
65      0.222
70      0.233
75      0.245
80      0.251
85      0.255
90      0.258
95      0.262
100     0.266
105     0.270
110     0.272
115     0.274
120     0.276
125     0.278
130     0.280
135     0.282
140     0.284
145     0.286
150     0.287
155     0.289
160     0.291
165     0.292
170     0.293
175     0.294
