# U_H = 5.6V   I_H = 2.5A
# U_B/V  I_A/mA
0       0.000
5       0.013
10      0.030
15      0.049
20      0.075
25      0.103
30      0.139
35      0.177
40      0.218
45      0.257
50      0.304
55      0.355
60      0.409
65      0.466
70      0.522
75      0.583
80      0.628
85      0.687
90      0.740
95      0.811
100     0.876
105     0.949
110     1.021
115     1.094
120     1.153
125     1.231
130     1.289
135     1.362
140     1.422
145     1.485
150     1.556
155     1.623
160     1.692
165     1.760
170     1.821
175     1.892
180     1.957
185     2.040
190     2.100
195     2.170
200     2.240
205     2.320
210     2.390
215     2.460
220     2.540
225     2.610
230     2.670
235     2.740
240     2.820
245     2.890
250     2.960
255     3.020
