# Kristallwinkel	Rate bei 35kV
# theta/�	R(35kV)/Imp/s

4.0	40.0
4.2	42.0
4.4	38.0
4.6	34.0
4.8	37.0
5.0	60.0
5.2	70.0
5.4	113.0
5.6	130.0
5.8	144.0
6.0	167.0
6.2	189.0
6.4	201.0
6.6	221.0
6.8	238.0
7.0	273.0
7.2	279.0
7.4	299.0
7.6	296.0
7.8	304.0
8.0	329.0
8.2	335.0
8.4	333.0
8.6	351.0
8.8	366.0
9.0	377.0
9.2	375.0
9.4	385.0
9.6	376.0
9.8	395.0
10.0	414.0
10.2	416.0
10.4	408.0
10.6	417.0
10.8	403.0
11.0	424.0
11.2	409.0
11.4	411.0
11.6	403.0
11.8	393.0
12.0	381.0
12.2	385.0
12.4	389.0
12.6	389.0
12.8	374.0
13.0	370.0
13.2	351.0
13.4	322.0
13.6	294.0
13.8	277.0
14.0	273.0
14.2	270.0
14.4	263.0
14.6	261.0
14.8	244.0
15.0	250.0
15.2	247.0
15.4	244.0
15.6	237.0
15.8	244.0
16.0	224.0
16.2	221.0
16.4	224.0
16.6	218.0
16.8	203.0
17.0	197.0
17.2	200.0
17.4	196.0
17.6	188.0
17.8	186.0
18.0	170.0
18.2	174.0
18.4	165.0
18.6	176.0
18.8	158.0
19.0	161.0
19.2	154.0
19.4	152.0
19.6	150.0
19.8	200.0
20.0	1374.0
20.2	1437.0
20.4	1021.0
20.6	230.0
20.8	205.0
21.0	185.0
21.2	177.0
21.4	169.0
21.6	179.0
21.8	194.0
22.0	269.0
22.2	2417.0
22.4	4662.0
22.6	4345.0
22.8	1292.0
23.0	182.0
23.2	142.0
23.4	124.0
23.6	114.0
23.8	109.0
24.0	104.0
24.2	103.0
24.4	91.0
24.6	87.0
24.8	91.0
25.0	84.0
25.2	81.0
25.4	77.0
25.6	78.0
25.8	76.0
26.0	79.0
