# Kristallwinkel	Rate bei 35kV
# theta/�	R(35kV)/Imp/s
19.0	158.0
19.1	154.0
19.2	164.0
19.3	149.0
19.4	151.0
19.5	145.0
19.6	157.0
19.7	173.0
19.8	200.0
19.9	688.0
20.0	1392.0
20.1	1473.0
20.2	1439.0
20.3	1413.0
20.4	1040.0
20.5	391.0
20.6	237.0
20.7	212.0
20.8	197.0
20.9	191.0
21.0	181.0
21.1	176.0
21.2	178.0
21.3	175.0
21.4	170.0
21.5	175.0
21.6	182.0
21.7	198.0
21.8	187.0
21.9	218.0
22.0	263.0
22.1	590.0
22.2	2305.0
22.3	4041.0
22.4	4691.0
22.5	4443.0
22.6	4386.0
22.7	3122.0
22.8	1407.0
22.9	232.0
23.0	167.0
23.1	150.0
23.2	142.0
23.3	132.0
23.4	128.0
